,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Allston,Chinese Restaurant,Asian Restaurant,Thai Restaurant,Sushi Restaurant,Japanese Restaurant,Korean Restaurant,Vietnamese Restaurant,Noodle House,Café,Food Truck
1,Boston,Asian Restaurant,Chinese Restaurant,Thai Restaurant,Sushi Restaurant,Japanese Restaurant,Vietnamese Restaurant,Korean Restaurant,Bakery,Dim Sum Restaurant,Food Truck
2,Brighton,Chinese Restaurant,Asian Restaurant,Thai Restaurant,Sushi Restaurant,Korean Restaurant,Japanese Restaurant,Noodle House,Vietnamese Restaurant,Café,Hunan Restaurant
3,Charlestown,Asian Restaurant,Chinese Restaurant,Sushi Restaurant,Japanese Restaurant,Thai Restaurant,Vietnamese Restaurant,Korean Restaurant,Noodle House,Restaurant,Breakfast Spot
4,Chelsea,Chinese Restaurant,Vietnamese Restaurant,Asian Restaurant,Sushi Restaurant,Japanese Restaurant,Dim Sum Restaurant,Food Truck,Food Court,Dumpling Restaurant,Diner
5,Dorchester,Chinese Restaurant,Vietnamese Restaurant,Asian Restaurant,Sushi Restaurant,Seafood Restaurant,Japanese Restaurant,Ramen Restaurant,Food Truck,Noodle House,Taco Place
6,Dorchester Center,Vietnamese Restaurant,Chinese Restaurant,Asian Restaurant,Thai Restaurant,Seafood Restaurant,BBQ Joint,Bakery,Breakfast Spot,Café,Grocery Store
7,East Boston,Chinese Restaurant,Asian Restaurant,Vietnamese Restaurant,Sushi Restaurant,Japanese Restaurant,BBQ Joint,Dim Sum Restaurant,Food Truck,Food Court,Dumpling Restaurant
8,Hyde Park,Chinese Restaurant,Thai Restaurant,Vietnamese Restaurant,Convenience Store,Fried Chicken Joint,Food Truck,Food Court,Dumpling Restaurant,Diner,Dim Sum Restaurant
9,Jamaica Plain,Chinese Restaurant,Asian Restaurant,Sushi Restaurant,Ramen Restaurant,Thai Restaurant,Japanese Restaurant,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Food Truck,Noodle House
10,Mattapan,Chinese Restaurant,Thai Restaurant,Vietnamese Restaurant,Convenience Store,Fried Chicken Joint,Food Truck,Food Court,Dumpling Restaurant,Diner,Dim Sum Restaurant
11,Revere,Chinese Restaurant,Asian Restaurant,Thai Restaurant,Vietnamese Restaurant,Dim Sum Restaurant,Fried Chicken Joint,Food Truck,Food Court,Dumpling Restaurant,Diner
12,Roslindale,Chinese Restaurant,Thai Restaurant,Asian Restaurant,Sushi Restaurant,Japanese Restaurant,Noodle House,Convenience Store,Food Court,Dumpling Restaurant,Diner
13,Roxbury,Asian Restaurant,Sushi Restaurant,Chinese Restaurant,Japanese Restaurant,Thai Restaurant,Vietnamese Restaurant,Restaurant,Coffee Shop,Convenience Store,Food Court
14,Roxbury Crossing,Asian Restaurant,Chinese Restaurant,Thai Restaurant,Sushi Restaurant,Japanese Restaurant,Vietnamese Restaurant,Noodle House,Korean Restaurant,Food Truck,Indian Restaurant
15,South Boston,Asian Restaurant,Chinese Restaurant,Sushi Restaurant,Japanese Restaurant,Thai Restaurant,Vietnamese Restaurant,Bakery,Dim Sum Restaurant,Food Truck,Noodle House
16,West Roxbury,Chinese Restaurant,Thai Restaurant,Asian Restaurant,Japanese Restaurant,Vietnamese Restaurant,Dim Sum Restaurant,Food Truck,Food Court,Dumpling Restaurant,Diner
17,Winthrop,Chinese Restaurant,Vietnamese Restaurant,Sushi Restaurant,Asian Restaurant,Japanese Restaurant,Himalayan Restaurant,BBQ Joint,Breakfast Spot,Café,Bakery
