,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Allston,Pizza Place,Bakery,Café,American Restaurant,Sushi Restaurant,Sandwich Place,Vegetarian / Vegan Restaurant,Gastropub,Seafood Restaurant,Fried Chicken Joint
1,Boston,Italian Restaurant,Seafood Restaurant,Bakery,American Restaurant,Pizza Place,Sandwich Place,French Restaurant,Café,Mexican Restaurant,Steakhouse
2,Brighton,Bakery,Pizza Place,Mexican Restaurant,Sushi Restaurant,Café,Gastropub,Korean Restaurant,Chinese Restaurant,Diner,Donut Shop
3,Charlestown,Italian Restaurant,Pizza Place,Seafood Restaurant,Bakery,Café,Gastropub,Sandwich Place,Mexican Restaurant,American Restaurant,French Restaurant
4,Chelsea,Pizza Place,Chinese Restaurant,Café,Mexican Restaurant,Bakery,Sandwich Place,Italian Restaurant,Fast Food Restaurant,Donut Shop,American Restaurant
5,Dorchester,Pizza Place,American Restaurant,Café,Sandwich Place,Vietnamese Restaurant,Donut Shop,Caribbean Restaurant,Chinese Restaurant,Breakfast Spot,Bakery
6,Dorchester Center,Pizza Place,Fast Food Restaurant,American Restaurant,Caribbean Restaurant,Vietnamese Restaurant,Café,Sandwich Place,Restaurant,Bakery,Donut Shop
7,East Boston,Pizza Place,Mexican Restaurant,Deli / Bodega,Café,Seafood Restaurant,Chinese Restaurant,Restaurant,Donut Shop,Sandwich Place,Food Truck
8,Hyde Park,Pizza Place,Bakery,Chinese Restaurant,American Restaurant,Italian Restaurant,Donut Shop,Latin American Restaurant,Sandwich Place,Diner,Mexican Restaurant
9,Jamaica Plain,Pizza Place,Sandwich Place,American Restaurant,Italian Restaurant,Bakery,Chinese Restaurant,Mexican Restaurant,Café,Sushi Restaurant,Breakfast Spot
10,Mattapan,Pizza Place,American Restaurant,Food,Fast Food Restaurant,Caribbean Restaurant,Fried Chicken Joint,Bakery,BBQ Joint,Donut Shop,Sandwich Place
11,Revere,Pizza Place,Italian Restaurant,Chinese Restaurant,American Restaurant,Sandwich Place,Donut Shop,Diner,Bakery,Fast Food Restaurant,Mexican Restaurant
12,Roslindale,Pizza Place,American Restaurant,Chinese Restaurant,Bakery,Donut Shop,Italian Restaurant,Sandwich Place,Mexican Restaurant,Breakfast Spot,Café
13,Roxbury,American Restaurant,Italian Restaurant,Mexican Restaurant,Bakery,Seafood Restaurant,Café,Greek Restaurant,Pizza Place,Japanese Restaurant,French Restaurant
14,Roxbury Crossing,Italian Restaurant,American Restaurant,Café,Bakery,Mexican Restaurant,Greek Restaurant,Seafood Restaurant,Pizza Place,Sandwich Place,Salad Place
15,South Boston,Seafood Restaurant,Italian Restaurant,New American Restaurant,American Restaurant,Bakery,Pizza Place,Steakhouse,Sandwich Place,Diner,French Restaurant
16,West Roxbury,Pizza Place,Italian Restaurant,Bakery,Chinese Restaurant,Sandwich Place,Breakfast Spot,Fast Food Restaurant,American Restaurant,Donut Shop,Mexican Restaurant
17,Winthrop,Deli / Bodega,Pizza Place,Italian Restaurant,Mexican Restaurant,Chinese Restaurant,Donut Shop,Breakfast Spot,Restaurant,Asian Restaurant,Bakery
